OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ISS (ZARYA),1998-067A,2026-07-13T18:23:41.212608,15.49001429,.0006711,51.6307,168.5527,292.2587,67.7689,0,U,25544,999,57587,.80956E-4,.4013E-4,0
POISK,2009-060A,2026-07-13T18:23:41.212608,15.49001429,.0006711,51.6307,168.5527,292.2587,67.7689,0,U,36086,999,57575,.80956E-4,.4013E-4,0
CSS (TIANHE),2021-035A,2026-07-13T20:51:12.017376,15.58061298,.0002698,41.4690,159.8761,307.1688,52.8903,0,U,48274,999,29733,.14357E-4,.78E-5,0
ISS (NAUKA),2021-066A,2026-07-13T18:23:41.212608,15.49001429,.0006711,51.6307,168.5527,292.2587,67.7689,0,U,49044,999,57577,.80956E-4,.4013E-4,0
FREGAT DEB,2011-037PF,2026-07-13T12:27:30.316032,12.42712902,.0899815,51.6177,282.7388,339.7873,16.9385,0,U,49271,999,22832,.23384E-1,.13795E-3,0
CSS (WENTIAN),2022-085A,2026-07-13T13:09:41.370336,15.58055023,.00023088,41.4687,161.8154,295.5855,64.4744,0,U,53239,999,28823,.14285014E-4,.774E-5,0
CSS (MENGTIAN),2022-143A,2026-07-13T20:51:12.017376,15.58061298,.0002698,41.4690,159.8761,307.1688,52.8903,0,U,54216,999,29675,.14357E-4,.78E-5,0
HRC MONOBLOCK CAMERA,1998-067XR,2026-07-13T06:18:25.044768,15.78076952,.0001546,51.6194,144.8304,61.5692,298.5464,0,U,66052,999,4211,.38764E-3,.67354E-3,0
SZ-21 MODULE,2025-246C,2026-07-13T05:37:56.859168,15.78673057,.0007887,41.4707,144.8204,207.7772,152.2653,0,U,66515,999,3785,.20511E-3,.36875E-3,0
SOYUZ-MS 28,2025-275A,2026-07-13T18:23:41.212608,15.49001429,.0006711,51.6307,168.5527,292.2587,67.7689,0,U,66664,999,57581,.80956E-4,.4013E-4,0
DUPLEX,1998-067XS,2026-07-13T12:18:45.023040,15.64469865,.00025257,51.6247,156.3374,330.1562,29.9288,0,U,66906,999,3477,.27301176E-3,.26322E-3,0
KNACKSAT-2,1998-067XZ,2026-07-13T06:37:11.095104,15.62269029,.0008057,51.6258,163.0209,321.9354,38.1070,0,U,67683,999,2435,.4098E-3,.36553E-3,0
CORAL,1998-067YA,2026-07-13T06:36:48.076416,15.90188531,.0003924,51.6160,152.3968,5.8420,354.2630,0,U,67684,999,2449,.1069E-2,.328487E-2,.50975E-4
GXIBA-1,1998-067YB,2026-07-12T22:16:04.257120,15.64340851,.00086991,51.6233,163.6868,319.0392,40.9949,0,U,67685,999,2431,.54403445E-3,.52985E-3,0
UITMSAT-2,1998-067YC,2026-07-12T22:34:02.656128,15.68803043,.00040155,51.6229,161.5118,319.0645,41.0050,0,U,67686,999,2434,.68269243E-3,.80007E-3,0
LEOPARD,1998-067YD,2026-07-13T06:50:16.348416,15.63553779,.0004736,51.6262,162.3417,303.5147,56.5395,0,U,67687,999,2428,.46737E-3,.43934E-3,0
HMU-SAT2,1998-067YE,2026-07-13T06:41:54.074112,15.66674956,.0004143,51.6249,160.7902,312.3343,47.7301,0,U,67688,999,2430,.47156E-3,.50291E-3,0
CREW DRAGON 12,2026-031A,2026-07-13T18:23:41.212608,15.49001429,.0006711,51.6307,168.5527,292.2587,67.7689,0,U,67796,999,57579,.80956E-4,.4013E-4,0
PROGRESS-MS 33,2026-058A,2026-07-13T18:23:41.212608,15.49001429,.0006711,51.6307,168.5527,292.2587,67.7689,0,U,68319,999,57583,.80956E-4,.4013E-4,0
CYGNUS NG-24,2026-079A,2026-07-13T07:33:22.422240,15.48997295,.0006687,51.6305,170.7871,290.3592,69.6678,0,U,68689,999,68185,.81266333E-4,.4029E-4,0
PROGRESS-MS 34,2026-093A,2026-07-13T07:33:22.422240,15.48997295,.0006687,51.6305,170.7871,290.3592,69.6678,0,U,68837,999,69958,.81266333E-4,.4029E-4,0
TIANZHOU-10,2026-102A,2026-07-13T13:09:41.370336,15.58055023,.00023088,41.4687,161.8154,295.5855,64.4744,0,U,69049,999,29661,.14285014E-4,.774E-5,0
SHENZHOU-23 (SZ-23),2026-113A,2026-07-13T13:09:41.370336,15.58055023,.00023088,41.4687,161.8154,295.5855,64.4744,0,U,69180,999,29605,.14285014E-4,.774E-5,0
